年月	服装服饰	饮食	水电气房租	交通	通信	社交应酬	个人兴趣	总支出
2017年1月	300	800	1100	260	100	300	350	3210
2017年2月	1200	600	900	1000	300	2000	400	6400
2017年3月	50	750	1000	300	200	200	350	2850
2017年4月	100	900	1000	300	100	300	450	3150
2017年5月	150	800	1000	150	200	600	300	3200
2017年6月	200	850	1050	200	100	200	500	3100
2017年7月	100	750	1100	250	900	200	350	3650
2017年8月	300	900	1100	180	50	300	1200	4030
2017年9月	1100	850	1000	220	50	200	300	3720
2017年10月	100	900	1000	280	100	500	350	3230
2017年11月	200	900	1000	120	50	100	420	2790
2017年12月	300	1050	1100	350	100	500	400	3800
月均开销	4100	10050	12350	3610	2250	5400	5370	43130
